Filename,i_vector_0,i_vector_1,i_vector_2,i_vector_3,i_vector_4,i_vector_5,i_vector_6,i_vector_7,i_vector_8,i_vector_9,i_vector_10,i_vector_11,i_vector_12
a101_180_210_class2.wav,-0.1069235351545302,-0.12006982342863932,0.37771252544392003,-0.012955638930490685,-0.29551329236357976,0.3482159704879629,0.19879769640477268,-0.06907850084392042,-0.40046024332493163,-0.3914500037865687,0.4191401523369331,-0.09213379802812768,0.28402913097945554
a079_120_150_class13.wav,-0.20109852756313912,-0.14289928669641694,-0.1767299578179428,-0.4526299044204616,0.3124313433044596,-0.12905787454466294,0.20532010280590002,-0.5941254771685158,-0.019323630096106974,-0.294428231485979,-0.20494130642080963,-0.17939352355601892,-0.17993554307657753
a107_210_240_class1.wav,-0.3392006194616938,-0.20592401885694236,-0.14872165576707552,-0.40315409042891687,-0.15014123746821784,-0.2307655312466749,0.057078015329299486,-0.3124783593184989,-0.31989030376208516,-0.2047301281739789,-0.32746375206173384,-0.4093782975379328,-0.24924648238649774
a059_30_60_class4.wav,-0.18103621665486075,-0.31351560877649254,-0.26705028318552193,-0.2517226339100131,-0.08677989669383256,-0.17249237534055856,-0.1605448716268374,-0.43900413324614845,-0.2678490421583729,-0.2954789308598021,-0.33784347828880146,-0.21186490626307777,-0.4004924418908419
a012_60_90_class11.wav,-0.2698550368341502,-0.23869146275429998,-0.18339075220061443,-0.30829438821855376,-0.29070153086859407,-0.21654371885377116,-0.2654118010686523,-0.3583632459468752,-0.21025408761828848,-0.3137618863172107,-0.27540289904331183,-0.067838366507337,-0.43377268361419813
b039_60_90_class8.wav,-0.19735554197485597,-0.1457247001550437,-0.31421813210882366,-0.2550203381867647,-0.18230891116187217,-0.0705966354980797,-0.2632373194580459,-0.477650290173936,0.08744948336004649,-0.10890003421667636,-0.41107897550860606,-0.5015834439256777,0.01743787178596295
b033_120_150_class6.wav,-0.15102751307260284,-0.28733636493281456,-0.29925205529091653,-0.234677760875714,-0.18870044213300488,-0.12722391192368504,-0.256588509803098,-0.3926209725170758,-0.31756389865871304,-0.3304812065999302,-0.2888135940001034,-0.3355003518321549,-0.26866699049458054
a017_120_150_class14.wav,-0.2706295124998943,-0.2502964849943113,-0.1594397046486733,-0.058359840444022024,-0.3891534917230806,-0.15627989702744113,-0.3592346647873024,-0.4083089326364216,-0.20311338943460044,-0.3575934617492706,-0.37497591454143,-0.0025253813763928446,-0.23219264434306414
b053_120_150_class10.wav,-0.18484053790142174,-0.32142809641526693,-0.24974013670759906,-0.12996744663707532,-0.18789731579974045,-0.15506174112339485,-0.19765207970723206,-0.3442396087868343,-0.3371726185490506,-0.3578020597738828,-0.3933415754352204,-0.20293393821586198,-0.35879244233468677
a109_0_30_class1.wav,-0.323187470079032,-0.24234158237650263,-0.10867949051819305,-0.26246480429169133,-0.2976836114466373,-0.2527916384822438,-0.0011888326490066964,-0.2968354282278515,-0.38498506426114015,-0.18541125937533995,-0.194344889805335,-0.5021555739128686,-0.2072886641540114
a099_120_150_class10.wav,-0.18340398292501056,-0.3010051007239779,-0.08970981048745781,-0.1438482608726496,-0.22639561678130693,-0.3321626374035208,-0.34756240395102195,-0.21287807969990466,-0.3509973190459114,-0.3480765656621125,-0.24013974421274106,-0.4090627921050395,-0.22351546593948607
a120_120_150_class10.wav,0.01280076324721528,-0.36948476113325773,0.09737469980932535,-0.038966679145093316,-0.05645248435212815,-0.30951440797361257,-0.3788001952377621,0.011760179104227251,-0.5158258468603335,-0.33733331303594727,-0.07835549602917675,-0.4649984181713616,-0.08642797587405787
b116_60_90_class10.wav,-0.22425555508225012,-0.21690075128070363,-0.31192176407302913,-0.21102052049671963,-0.22319534916205605,-0.07988840601124259,-0.3011517485627696,-0.4747108705590445,-0.014423312455275205,-0.17776534051537088,-0.43905948640380793,-0.40009671462860713,-0.06275662239989818
b045_0_30_class2.wav,0.05536552031556853,0.07618672099168695,0.2045651254407177,-0.3840283797887782,0.06980918723789381,0.6421648326939282,0.24624447435545044,-0.23109047504145724,-0.013251465821131243,-0.4924247432306612,0.04667896518551932,0.1273933363471939,0.09721982755171145
b116_150_180_class10.wav,-0.1998068605015226,-0.1621243375162157,-0.3177822856364172,-0.24628665119094745,-0.19192067709433566,-0.05485609609250352,-0.2739431851180615,-0.4466083808930915,0.039620424832406506,-0.12126617236403346,-0.4290900583475433,-0.5070559400750534,-0.017444276111173915
b005_90_120_class11.wav,-0.2510797804312533,-0.3173979150136548,-0.210921953088058,-0.2002734990019157,-0.3221886769073343,-0.17504234701001517,-0.27567209860143516,-0.39058173890703746,-0.3039363698594215,-0.3122053185317966,-0.26811268495635276,-0.1528110362540076,-0.32177677470444865
b015_150_180_class14.wav,-0.17842638067003164,-0.2694420151095079,-0.17244293746485775,-0.06724213882756741,-0.3705343172326395,-0.023650990044874826,-0.33675798372438454,-0.4093440451180924,-0.3315709569599869,-0.40622575675239886,-0.31035346647078016,-0.0061240748594907695,-0.26677326592905487
b050_90_120_class1.wav,-0.2489034027499324,-0.13799240641198826,-0.27798035676993094,-0.2990027027975159,-0.18663240836103745,-0.2850875084544348,-0.34723431984841585,-0.37271327597191345,-0.23530352560881393,-0.23186632974731958,-0.30848701256599664,-0.3282113197537086,-0.2544001634776885
a121_240_270_class10.wav,-0.060945538578256915,-0.32886023689434035,-0.08383086538992329,-0.16475844326403924,-0.12694669056567465,-0.3443479145230807,-0.38884884743760284,-0.07054174097625554,-0.4029458906469046,-0.352085045160738,-0.15618945030457643,-0.469142007906006,-0.17965098847297067
b035_0_30_class8.wav,-0.16171728665998011,-0.16277697194991483,-0.3184697811876637,-0.23600076346565296,-0.18288047468711444,-0.09788987382668048,-0.22221670615917238,-0.49111275254238096,0.0660667231879597,-0.15024222403624318,-0.4042027808263296,-0.5156804719472771,0.019706448559589328
b039_120_150_class8.wav,-0.1944335141743884,-0.1595786023535189,-0.3155758583160744,-0.24973259280201074,-0.1969301792956234,-0.055820446768141005,-0.2698915361849956,-0.4982913765926371,0.060027324065326904,-0.13247498752668518,-0.4119972075320529,-0.4699130204192263,0.005457578501636712
b092_60_90_class3.wav,-0.1679970255236323,-0.19022818388961676,-0.061075144147010166,-0.18982568377849865,-0.26223578239219836,0.06811947953330647,-0.26784610828798006,-0.5335386429692188,-0.2800266454064633,-0.3992268825804863,-0.37675668102918386,-0.06313487871939706,-0.28685318224826967
